x,actlevel,week,season
Week:4  Year:2016-17,5.603773585,4,201617
Week:5  Year:2016-17,6.528301887,5,201617
Week:6  Year:2016-17,7.113207547,6,201617
Week:7  Year:2016-17,6.773584906,7,201617
Week:8  Year:2016-17,6.509433962,8,201617
Week:9  Year:2016-17,5.113207547,9,201617
Week:10  Year:2016-17,5.056603774,10,201617
Week:11  Year:2016-17,4.433962264,11,201617
Week:12  Year:2016-17,4.169811321,12,201617
Week:13  Year:2016-17,3.735849057,13,201617
Week:14  Year:2016-17,3,14,201617
Week:15  Year:2016-17,2.075471698,15,201617
Week:16  Year:2016-17,1.509433962,16,201617
Week:17  Year:2016-17,1.339622642,17,201617
Week:18  Year:2016-17,1.20754717,18,201617
Week:19  Year:2016-17,1.094339623,19,201617
Week:20  Year:2016-17,1.169811321,20,201617
Week:21  Year:2016-17,1.075471698,21,201617
Week:22  Year:2016-17,1.018867925,22,201617
Week:23  Year:2016-17,1,23,201617
Week:24  Year:2016-17,0.962264151,24,201617
Week:25  Year:2016-17,1,25,201617
Week:26  Year:2016-17,0.943396226,26,201617
Week:27  Year:2016-17,0.924528302,27,201617
Week:28  Year:2016-17,0.905660377,28,201617
Week:29  Year:2016-17,0.924528302,29,201617
Week:30  Year:2016-17,0.943396226,30,201617
Week:31  Year:2016-17,0.943396226,31,201617
Week:32  Year:2016-17,0.924528302,32,201617
Week:33  Year:2016-17,0.943396226,33,201617
Week:34  Year:2016-17,1.037735849,34,201617
Week:35  Year:2016-17,1.094339623,35,201617
Week:36  Year:2016-17,1.094339623,36,201617
Week:37  Year:2016-17,1.056603774,37,201617
Week:38  Year:2016-17,1.037735849,38,201617
Week:39  Year:2016-17,1.056603774,39,201617
Week:40  Year:2016-17,1.037735849,40,201617
Week:41  Year:2016-17,1.113207547,41,201617
Week:42  Year:2016-17,1.094339623,42,201617
Week:43  Year:2016-17,1.226415094,43,201617
Week:44  Year:2016-17,1.264150943,44,201617
Week:45  Year:2016-17,1.41509434,45,201617
Week:46  Year:2016-17,1.566037736,46,201617
Week:47  Year:2016-17,1.811320755,47,201617
Week:48  Year:2016-17,1.698113208,48,201617
Week:49  Year:2016-17,1.773584906,49,201617
Week:50  Year:2016-17,2.320754717,50,201617
Week:51  Year:2016-17,3.018867925,51,201617
Week:52  Year:2016-17,4.150943396,52,201617
Week:1  Year:2017-18,7.226415094,1,201718
Week:2  Year:2017-18,7.773584906,2,201718
Week:3  Year:2017-18,8.41509434,3,201718
Week:4  Year:2017-18,8.811320755,4,201718
Week:5  Year:2017-18,9.056603774,5,201718
Week:6  Year:2017-18,9.094339623,6,201718
Week:7  Year:2017-18,8.679245283,7,201718
Week:8  Year:2017-18,7.981132075,8,201718
Week:9  Year:2017-18,6.490566038,9,201718
Week:10  Year:2017-18,5.20754717,10,201718
Week:11  Year:2017-18,4.301886792,11,201718
Week:12  Year:2017-18,3.754716981,12,201718
Week:13  Year:2017-18,3.150943396,13,201718
Week:14  Year:2017-18,2.547169811,14,201718
Week:15  Year:2017-18,2.018867925,15,201718
Week:16  Year:2017-18,1.622641509,16,201718
Week:17  Year:2017-18,1.452830189,17,201718
Week:18  Year:2017-18,1.358490566,18,201718
Week:19  Year:2017-18,1.188679245,19,201718
Week:20  Year:2017-18,1.132075472,20,201718
Week:21  Year:2017-18,1.132075472,21,201718
Week:22  Year:2017-18,1.132075472,22,201718
Week:23  Year:2017-18,1.037735849,23,201718
Week:24  Year:2017-18,1.018867925,24,201718
Week:25  Year:2017-18,1,25,201718
Week:26  Year:2017-18,0.962264151,26,201718
Week:27  Year:2017-18,1,27,201718
Week:28  Year:2017-18,0.962264151,28,201718
Week:29  Year:2017-18,0.962264151,29,201718
Week:30  Year:2017-18,0.962264151,30,201718
Week:31  Year:2017-18,0.962264151,31,201718
Week:32  Year:2017-18,0.943396226,32,201718
Week:33  Year:2017-18,1,33,201718
Week:34  Year:2017-18,1.019230769,34,201718
Week:35  Year:2017-18,1.037735849,35,201718
Week:36  Year:2017-18,1.113207547,36,201718
Week:37  Year:2017-18,1.075471698,37,201718
Week:38  Year:2017-18,1.076923077,38,201718
Week:39  Year:2017-18,1.301886792,39,201718
Week:40  Year:2017-18,1.169811321,40,201718
Week:41  Year:2017-18,1.20754717,41,201718
Week:42  Year:2017-18,1.283018868,42,201718
Week:43  Year:2017-18,1.490566038,43,201718
Week:44  Year:2017-18,1.830188679,44,201718
Week:45  Year:2017-18,2.094339623,45,201718
Week:46  Year:2017-18,2.452830189,46,201718
Week:47  Year:2017-18,2.698113208,47,201718
Week:48  Year:2017-18,2.867924528,48,201718
Week:49  Year:2017-18,3.433962264,49,201718
Week:50  Year:2017-18,4.452830189,50,201718
Week:51  Year:2017-18,5.867924528,51,201718
Week:52  Year:2017-18,7.075471698,52,201718
Week:1  Year:2018-19,5.490566038,1,201819
Week:2  Year:2018-19,5.056603774,2,201819
Week:3  Year:2018-19,5.943396226,3,201819
Week:4  Year:2018-19,6.867924528,4,201819
